time,equity,price,in_position
2026-08-30T06:56:35.531736+00:00,9322.39,40069.23,0
2026-08-30T07:06:13.211107+00:00,9322.39,35843.77,1
2026-08-30T07:12:48.739693+00:00,10505.52,78251.30,0
2026-08-30T07:25:41.071695+00:00,10505.52,78225.40,0
2026-08-30T11:39:36.591858+00:00,10505.52,78161.70,0
2026-08-30T12:17:15.560965+00:00,10505.52,78563.00,0
2026-08-30T13:07:01.716303+00:00,10504.52,78707.40,1
2026-08-30T13:09:42.039876+00:00,10504.58,78712.50,1
2026-08-30T13:22:41.553602+00:00,10504.53,78708.50,1
2026-08-30T14:23:58.701694+00:00,10506.05,78827.90,1
2026-08-30T15:28:10.567796+00:00,10505.43,78778.90,1
2026-08-30T18:26:32.758644+00:00,10506.56,78868.30,1
2026-08-30T18:44:51.079008+00:00,10509.27,79081.90,1
2026-08-30T20:11:26.498369+00:00,10506.43,78858.30,1
2026-08-30T21:37:21.357158+00:00,10504.01,78667.20,1
2026-08-30T23:53:24.909733+00:00,10489.97,77561.30,1
2026-08-31T03:29:55.284111+00:00,10490.83,77709.70,0
2026-08-31T10:02:52.653062+00:00,10490.83,78410.50,0
2026-08-31T12:56:07.574205+00:00,10490.83,77790.50,0
2026-08-31T16:43:36.797570+00:00,10489.83,78621.70,1
2026-08-31T17:37:20.773498+00:00,10489.63,78605.70,1
2026-08-31T19:04:52.165180+00:00,10495.57,79073.10,1
2026-08-31T21:18:24.166778+00:00,10492.10,78800.50,1
2026-08-31T22:03:01.000205+00:00,10494.13,78960.20,1
2026-09-01T01:18:08.806380+00:00,10488.81,78541.50,1
2026-09-01T02:30:29.993416+00:00,10485.11,78250.00,1
2026-09-01T06:31:16.442334+00:00,10493.25,78890.50,1
2026-09-01T12:01:29.497427+00:00,10480.70,77980.90,0
2026-09-01T16:39:21.055477+00:00,10480.70,77488.50,0
2026-09-01T19:36:38.096026+00:00,10480.70,77322.90,0
2026-09-01T22:03:38.240604+00:00,10480.70,77240.50,0
2026-09-02T00:13:13.702619+00:00,10480.70,77333.50,0
2026-09-02T04:38:07.013534+00:00,10480.70,77450.20,0
2026-09-02T08:34:15.204902+00:00,10480.70,77094.90,0
2026-09-02T09:03:35.844645+00:00,10480.70,77012.80,0
2026-09-02T13:39:24.404441+00:00,10480.70,76625.00,0
2026-09-02T17:23:01.501661+00:00,10480.70,76996.10,0
2026-09-02T19:59:02.816166+00:00,10480.70,77256.40,0
2026-09-02T22:30:44.060166+00:00,10480.70,77023.70,0
2026-09-03T00:40:58.027586+00:00,10480.70,77092.60,0
2026-09-03T05:06:34.969411+00:00,10480.70,77699.60,0
2026-09-03T09:48:40.691973+00:00,10480.70,77645.00,0
2026-09-03T14:07:16.218681+00:00,10480.70,78891.20,0
