time,event,detail
2026-08-30T06:45:58.566721+00:00,relearn,edge validated oos=+17.4% -> armed
2026-08-30T06:45:58.568999+00:00,buy,0.008046 @~124285.94
2026-08-30T06:56:35.535206+00:00,sell,@~40069.23 (stop) pnl -67.76% ($-677.61)
2026-08-30T07:06:13.213363+00:00,buy,0.027899 @~35843.77 (~$1000)
2026-08-30T07:12:48.742302+00:00,sell,@~78251.30 (target) pnl +118.31% ($+1,183.13)
2026-08-30T07:25:42.308409+00:00,hold,armed, no entry signal (px 78225.40)
2026-08-30T11:39:37.746945+00:00,hold,armed, no entry signal (px 78161.70)
2026-08-30T12:17:16.794471+00:00,hold,armed, no entry signal (px 78563.00)
2026-08-30T13:07:02.954242+00:00,buy,0.01269256 @~78707.50 (mid 78707.45, slip +0.000%, ~$1000)
2026-08-31T03:29:56.531318+00:00,sell,@~77706.77 (mid 77709.75, slip +0.004%) pnl -1.47% ($-14.69) [trend]
2026-08-31T10:02:53.908431+00:00,hold,armed, no entry signal (px 78410.50)
2026-08-31T12:56:08.704687+00:00,hold,armed, no entry signal (px 77790.50)
2026-08-31T16:43:37.869969+00:00,buy,0.01270642 @~78621.70 (mid 78621.65, slip +0.000%, ~$1000)
2026-09-01T12:01:30.867774+00:00,sell,@~77980.80 (mid 77980.85, slip +0.000%) pnl -1.01% ($-10.13) [relearn-exit]
2026-09-01T12:01:30.867817+00:00,relearn,no edge (oos=0.0%) -> CASH
2026-09-01T12:01:30.867841+00:00,cash,no validated edge or halted (px 77980.90)
2026-09-01T16:39:22.335446+00:00,cash,no validated edge or halted (px 77488.50)
2026-09-01T19:36:39.291406+00:00,cash,no validated edge or halted (px 77322.90)
2026-09-01T22:03:39.439635+00:00,cash,no validated edge or halted (px 77240.50)
2026-09-02T00:13:14.905031+00:00,cash,no validated edge or halted (px 77333.50)
2026-09-02T04:38:08.084855+00:00,cash,no validated edge or halted (px 77450.20)
2026-09-02T08:34:16.403017+00:00,cash,no validated edge or halted (px 77094.90)
2026-09-02T09:03:37.213144+00:00,cash,no validated edge or halted (px 77012.80)
2026-09-02T13:39:25.576481+00:00,cash,no validated edge or halted (px 76625.00)
2026-09-02T17:23:02.693433+00:00,cash,no validated edge or halted (px 76996.10)
2026-09-02T19:59:04.001167+00:00,cash,no validated edge or halted (px 77256.40)
2026-09-02T22:30:45.257355+00:00,cash,no validated edge or halted (px 77023.70)
2026-09-03T00:40:59.225935+00:00,cash,no validated edge or halted (px 77092.60)
2026-09-03T05:06:36.176126+00:00,cash,no validated edge or halted (px 77699.60)
2026-09-03T09:48:41.885815+00:00,cash,no validated edge or halted (px 77645.00)
2026-09-03T14:07:17.929097+00:00,relearn,no edge (oos=-0.3%) -> CASH
2026-09-03T14:07:17.929180+00:00,cash,no validated edge or halted (px 78891.20)
2026-09-03T17:51:27.362765+00:00,cash,no validated edge or halted (px 81136.00)
2026-09-03T20:28:31.929709+00:00,cash,no validated edge or halted (px 81529.80)
2026-09-03T22:45:14.837649+00:00,cash,no validated edge or halted (px 81218.80)
2026-09-04T00:27:33.753818+00:00,cash,no validated edge or halted (px 81156.60)
2026-09-04T04:58:04.576144+00:00,cash,no validated edge or halted (px 81087.70)
2026-09-04T09:23:49.017438+00:00,cash,no validated edge or halted (px 81023.50)
2026-09-04T13:40:50.477140+00:00,cash,no validated edge or halted (px 79400.00)
2026-09-04T17:06:18.054118+00:00,cash,no validated edge or halted (px 79694.30)
2026-09-04T19:35:07.418914+00:00,cash,no validated edge or halted (px 79751.80)
2026-09-04T21:50:20.543166+00:00,cash,no validated edge or halted (px 79763.90)
2026-09-04T23:42:17.021927+00:00,cash,no validated edge or halted (px 79690.90)
2026-09-05T01:26:08.152816+00:00,cash,no validated edge or halted (px 79673.60)
2026-09-05T06:06:02.584410+00:00,cash,no validated edge or halted (px 79633.90)
2026-09-05T10:34:09.389383+00:00,cash,no validated edge or halted (px 79646.60)
2026-09-05T13:33:32.715464+00:00,cash,no validated edge or halted (px 79750.00)
2026-09-05T16:16:40.410487+00:00,relearn,no edge (oos=-0.3%) -> CASH
2026-09-05T16:16:40.410570+00:00,cash,no validated edge or halted (px 79813.80)
2026-09-05T18:29:44.624766+00:00,cash,no validated edge or halted (px 79975.50)
2026-09-05T20:40:11.935471+00:00,cash,no validated edge or halted (px 79747.30)
2026-09-05T22:19:01.244806+00:00,cash,no validated edge or halted (px 79881.10)
2026-09-06T00:06:45.804070+00:00,cash,no validated edge or halted (px 79889.40)
2026-09-06T04:37:31.601726+00:00,cash,no validated edge or halted (px 79916.60)
2026-09-06T08:56:24.905617+00:00,cash,no validated edge or halted (px 79870.10)
2026-09-06T12:39:24.342650+00:00,cash,no validated edge or halted (px 79991.60)
2026-09-06T15:48:03.074295+00:00,cash,no validated edge or halted (px 79688.80)
2026-09-06T17:59:37.879815+00:00,cash,no validated edge or halted (px 79731.10)
2026-09-06T20:19:22.115214+00:00,cash,no validated edge or halted (px 79818.00)
2026-09-06T22:12:54.775316+00:00,cash,no validated edge or halted (px 79712.60)
2026-09-06T23:56:29.492158+00:00,cash,no validated edge or halted (px 80315.80)
2026-09-07T03:08:37.365712+00:00,cash,no validated edge or halted (px 79817.50)
2026-09-07T08:16:53.019290+00:00,cash,no validated edge or halted (px 79471.50)
2026-09-07T14:22:03.267082+00:00,cash,no validated edge or halted (px 79074.70)
2026-09-07T18:48:32.587873+00:00,relearn,no edge (oos=-0.6%) -> CASH
2026-09-07T18:48:32.587958+00:00,cash,no validated edge or halted (px 79137.80)
2026-09-07T21:54:33.077360+00:00,cash,no validated edge or halted (px 79176.10)
2026-09-07T23:58:05.940878+00:00,cash,no validated edge or halted (px 79106.70)
2026-09-08T03:51:18.270977+00:00,cash,no validated edge or halted (px 78929.10)
2026-09-08T08:35:19.358701+00:00,cash,no validated edge or halted (px 78496.50)
2026-09-08T13:04:24.861567+00:00,cash,no validated edge or halted (px 78451.50)
2026-09-08T17:15:26.308591+00:00,cash,no validated edge or halted (px 78706.90)
2026-09-08T19:56:54.353569+00:00,cash,no validated edge or halted (px 78325.50)
2026-09-08T22:24:21.677764+00:00,cash,no validated edge or halted (px 78552.60)
2026-09-09T00:25:44.981949+00:00,cash,no validated edge or halted (px 78638.30)
2026-09-09T04:59:00.093404+00:00,cash,no validated edge or halted (px 79162.90)
